Entity,Code,Year,Men Overweight or Obese (%),Men (BMI),Women overweight or obese (%),Women (BMI),Daily caloric supply (per person) (kcal/person/day),Total population (Gapminder),HIV/AIDS and tuberculosis (DALYs),Diarrhea & common infectious diseases (DALYs),Malaria & neglected tropical diseases (DALYs),Maternal disorders (DALYs),Neonatal disorders (DALYs),Nutritional deficiencies (DALYs),Other communicable diseases (DALYs),Cancers (DALYs),Cardiovascular diseases (DALYs),Respiratory diseases (DALYs),Liver diseases (DALYs),Digestive diseases (DALYs),Neurological disorders (DALYs),Mental and substance use disorders (DALYs),"Diabetes, blood, & endocrine diseases (DALYs)",Musculoskeletal disorders (DALYs),Other NCDs (DALYs),Transport injuries (DALYs),Natural disasters (DALYs),Conflict and terrorism (DALYs),Self-harm (DALYs),Interpersonal violence (DALYs),Unintentional injuries (DALYs),% Adults > 25BMI
Grenada,GRD,2013,46.6,25.06665598,61.0,28.42515768,2447.0,105719.0,421.515411171,1872.44557437,124.019726533,60.794403315699995,1597.27378354,396.845008549,182.170090557,3894.46993283,5366.76478148,872.074044837,500.653010531,570.934904939,1512.08892366,2244.67473444,3730.53911159,1920.44411888,2671.10530461,964.755438264,55.2065261245,0.41178657130400004,385.055319087,450.702634344,1973.11821917,46.5
Guatemala,GTM,2013,47.4,25.4182289,56.9,27.18655759,2419.0,15527502.0,48216.8846079,673592.510004,49850.710113199995,24656.1321721,348796.355949,114766.517862,22019.972604,260513.908215,297554.755857,70536.82205389999,134043.546503,95833.6455587,193665.148202,355329.460662,355563.407629,188493.461135,437523.482278,141349.069062,1726.86059177,2580.71501582,49389.5960367,311052.762644,255998.396344,49.3
Guinea,GIN,2013,16.1,22.19355373,30.8,23.20914671,2566.0,10753680.0,470875.62318999995,1708949.6652600002,1376823.65207,140650.434518,992988.412664,291096.468574,134917.724672,241348.88441799997,388673.360917,99677.3595275,82991.57396030001,88505.9009588,112976.89303800001,196577.332541,254588.89433699998,134604.964428,524096.88802799996,95294.39794430001,17.1586756421,6488.50052302,24899.5787905,24512.1411927,255384.565156,22.2
Guinea-Bissau,GNB,2013,17.0,22.21891345,31.1,23.72112422,2292.0,1612913.0,161390.72299100002,226974.199091,56825.840608599996,14754.5794329,142845.516794,44922.671042400005,51865.0809306,39596.435132,82097.8411246,18062.7537461,17235.7078169,15674.5890977,17295.906607,30263.226827099996,43540.0041541,20354.2428292,69519.46223430001,18715.7589371,0.0,156.02509982200002,5330.01117397,7267.37641177,44442.8289377,25.0
Guyana,GUY,2013,41.8,24.90813144,60.1,27.41194956,2764.0,759262.0,14601.940481200001,15195.5775326,3170.42173942,1214.30080074,21941.4747553,6369.31350279,1319.22294033,18452.2065816,53416.191061000005,6085.52988652,7916.24750906,5075.39238508,9911.36208632,18519.7637719,28987.2650712,11262.1794207,19101.348673599998,10023.4908256,4.0096479475599995,8.943401321,11434.283597,8039.31619226,15731.154053999999,45.0
Haiti,HTI,2013,30.1,23.9155108,44.6,23.7798715,2091.0,10388424.0,498949.086909,880456.3268340001,44131.992287,71352.9137015,585551.0371470001,167011.796772,72892.01254580001,277822.066267,673512.0270720001,132568.08115399998,49118.350526099995,104371.55432000001,125800.30991199998,206596.78102999998,300223.90173000004,141824.204246,388935.329148,178876.151163,22448.057788,127.736289328,47799.3373224,47408.104912099996,246342.732012,47.7
Honduras,HND,2013,46.3,25.37762555,55.5,27.14199062,2641.0,8071522.0,34337.096072099994,139481.214627,21788.125636700002,12375.139408,165628.218094,34080.2030114,9775.45394704,136927.341751,284976.79846799996,72297.70417000001,42223.538681699996,61326.7254337,107651.06653099999,143243.388955,150434.102943,103730.117354,198496.461354,59207.7272887,2440.78313893,55.562943019399995,13102.3178343,146170.045474,91164.98376060001,49.3
Hong Kong,HKG,2013,52.7,25.04061477,34.1,22.76805325,3290.0,7274125.0,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,2013,66.6,27.36807712,48.5,25.534139800000002,3037.0,9933795.0,3104.33715029,40648.865860900005,409.291985546,947.0276435669999,37066.154489099994,20380.4723801,5231.30850466,713291.970451,969148.294618,123809.39612,110472.348568,69203.1290496,186467.985551,212870.953025,175146.88858199999,282149.406289,254646.63703200003,62468.785337400004,20.2635415558,0.0,79901.91984330001,11579.5983845,224344.910508,63.6
Iceland,ISL,2013,64.4,26.75490304,48.7,25.15258947,3380.0,331996.0,129.450890163,1662.63629678,2.90968055412,14.9884060917,731.1915520160001,185.68133406400003,86.4808075746,11719.692254799998,9906.04758773,2831.09318549,392.19627485,757.345724864,6486.14703008,7696.17603131,2971.26094944,8813.80740595,7843.92020432,1393.78303809,16.7554286674,0.0,1480.43189079,208.548878029,2986.99731072,60.2
India,IND,2013,15.9,21.16686424,21.1,21.4846213,2459.0,1275137828.0,22903373.7862,71664157.6019,8113320.884989999,3345547.35925,44722033.8655,22187114.123000003,5972936.24789,21652100.0614,62532278.2418,27691258.8441,6997848.60998,7098364.11751,16024782.3004,24843358.2551,24828304.1612,19679364.6693,34614253.1998,15757235.2675,377547.872281,17446.707177400003,11651269.793,2906539.54635,26232126.3436,17.5
Indonesia,IDN,2013,18.9,22.23003526,27.5,23.2827449,2777.0,247188189.0,3784205.1355199995,7023104.233039999,1132893.45194,810180.198982,5509565.85399,1537193.7168700001,742386.389579,4064905.4162699995,13350729.7296,3083989.9270900004,1674832.6251100001,1901288.9365599998,2886016.14787,4052028.8388199997,5279465.96065,4099976.81934,6458008.19611,2470262.96136,39572.8363353,19617.612566699998,405674.555281,338762.40098800004,2629084.31315,25.6
Iran,IRN,2013,55.7,25.20628305,63.6,26.96848641,3094.0,76407013.0,54536.1707089,693216.3027390001,18683.9134762,21842.4379088,1569811.06695,193006.687925,107666.36146400002,1340112.6462100002,3152977.6211099997,499735.818718,134553.420384,204743.65876400002,1213365.6241600001,2412303.99093,1397304.68126,1688110.12807,2215505.7775,1627276.7422200001,15587.4198032,103381.661672,272143.108466,121521.61285,965643.406469,57.2
Iraq,IRQ,2013,52.8,26.84181312,63.1,28.606426799999998,2545.0,34776205.0,69721.0780153,1032027.10659,37002.5988084,52163.180366,2091838.10375,271993.99721,100137.055586,507731.74367299996,1888378.98296,240339.108371,69791.0181331,89663.38583039999,427877.616452,784963.310758,882004.6650629999,454865.185259,1392591.19724,475361.15505500004,10.8799201833,997842.8674809999,134933.464921,162522.409794,708039.194859,57.8
Ireland,IRL,2013,66.6,27.7680554,54.3,26.93454903,3600.0,4631391.0,1549.29204838,23548.656569400002,37.8843380176,371.33593616300004,12667.406998999999,3520.5823757,1675.59672239,171577.790286,146907.643418,50641.146813,11001.8575626,12646.502868000001,87282.0558136,126413.23809500001,49751.3634661,112884.075223,115369.02616600001,17783.0170233,3.12034476248,0.0,22419.9047882,3074.20274411,46446.582086300004,61.3
Israel,ISR,2013,68.0,27.04283789,57.9,26.66522246,3610.0,7818860.0,3381.7716614,40200.201476099995,159.972858777,1115.42380109,31648.1919314,9097.39863545,3176.31781348,225145.25353800002,174319.664531,48814.0768744,13538.084795899998,16832.9104359,132173.647326,156710.363477,127284.861777,179774.795424,194667.050004,37392.8848193,3.0849682892400003,8497.56302864,24916.0565368,11391.4150842,63644.85859730001,64.2
Italy,ITA,2013,65.4,26.90945975,52.8,25.07698621,3579.0,61087395.0,55512.129697899996,211145.27176,1343.30181604,2545.49331109,149782.746368,64920.187178199994,26396.3024141,3038065.11932,2708131.58187,495714.534072,234423.150579,221632.600231,1640306.25663,1413352.10061,982512.2355020001,1800793.86953,1531441.66034,369776.346732,2211.48371823,0.0,152065.644073,41870.1331524,652846.4878529999,62.6
Jamaica,JAM,2013,47.4,25.46795396,62.8,29.00636509,2746.0,2771179.0,8233.57370897,29587.0538126,3583.58734681,1870.7119758000001,63998.9055202,17776.5037866,4167.45564389,90223.628761,110560.50998399999,23819.7913648,6001.70647882,11395.7064985,40145.847233199995,55899.67657,99808.6172395,51082.0310752,83358.9621014,15071.879897799998,14.629664302,33.5239919801,3701.79569797,36455.042215099995,25017.295820599997,52.7
Japan,JPN,2013,28.5,23.54152428,18.8,21.75314677,2726.0,126345235.0,54900.050136599995,1120342.74164,3316.27376475,5810.38606136,167955.809434,179326.211729,58487.806395700005,6092405.49971,5016103.93715,1132291.99487,455254.95709,382639.09592,3298474.15882,2493702.1287700003,2208934.05961,3877188.33424,3491569.0669199997,506631.242938,11556.7499432,27.961883832199998,1019663.42418,68410.6513905,1573703.59076,28.2
